paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
CICC-2016-P0001,CICC,CICC,2016,missing,CICC 2016 accepted-paper coverage marker: no reliable title-level source found in this run,,,,other,,,,,,https://dblp.org/db/conf/cicc/index.html,,,,CICC source-discovery audit for 2016,https://dblp.org/db/conf/cicc/index.html,bib_index,secondary,needs_review,low,,,coverage_gap,,,uncertain,Crossref exact CICC/container query returned zero 2016 rows; DBLP index access was unstable and public index did not expose 2016 in the captured pass.,,,,,none,,,no,title|authors|doi|official_url,"Missing coverage marker, not a paper."
CICC-2017-P0011,CICC,CICC,2017,complete,A 10-b 2b/cycle 300MS/s SAR ADC with a single differential DAC in 40nm CMOS,Jeonggoo Song|Xiyuan Tang|Nan Sun,Technical Program,,accepted_paper,10.1109/cicc.2017.7993700,,https://doi.org/10.1109/cicc.2017.7993700,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993700,paper,primary,verified,high,T11/T12,data_converters,adc|dac|sar|delta-sigma|noise-shaping|modulator,CICC-C03,Data converters and mixed-signal quantization,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0012,CICC,CICC,2017,complete,A 10 GHz 56 fs rms -integrated-jitter and −247 dB FOM ring-VCO based injection-locked clock multiplier with a continuous frequency-tracking loop in 65 nm CMOS,Xuqiang Zheng|Fangxu Lv|Feng Zhao|Shigang Yue|Chun Zhang|Ziqiang Wang|Fule Li|Hanjun Jiang|Zhihua Wang,Technical Program,,accepted_paper,10.1109/cicc.2017.7993597,,https://doi.org/10.1109/cicc.2017.7993597,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993597,paper,primary,verified,high,T12,rf_mmwave_thz,rf|mmwave|pll|radar|wireless|thz,CICC-C02,"RF, mmWave, THz, radar, wireless, and clock generation",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0013,CICC,CICC,2017,complete,A 10-to-650MHz 1.35W class-AB power amplifier with instantaneous supply-switching efficiency enhancement,Jeffrey Lee|Sudhakar Pamarti|Ramon A. Gomez,Technical Program,,accepted_paper,10.1109/cicc.2017.7993641,,https://doi.org/10.1109/cicc.2017.7993641,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993641,paper,primary,verified,high,T12,rf_mmwave_thz,rf|mmwave|pll|radar|wireless|thz,CICC-C02,"RF, mmWave, THz, radar, wireless, and clock generation",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0014,CICC,CICC,2017,complete,A 10MHz 2mA-800mA 0.5V-1.5V 90% peak efficiency time-based buck converter with seamless transition between PWM/PFM modes,Seong Joong Kim|Wooseok Choi|Robert Pilawa-Podgurski|Pavan Kumar Hanumolu,Technical Program,,accepted_paper,10.1109/cicc.2017.7993619,,https://doi.org/10.1109/cicc.2017.7993619,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993619,paper,primary,verified,high,T04/T10/T12,power_management,dc-dc|ldo|pmic|power_delivery|energy_harvesting,CICC-C04,"Power management, voltage regulation, and power delivery",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,maybe,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0015,CICC,CICC,2017,complete,"A 12-/14-bit, 4/2MSPS, 0.085mm2 SAR ADC in 65nm using novel residue boosting",Joonsung Park|Krishnaswamy Nagaraj|Mikel Ash|Ajay Kumar,Technical Program,,accepted_paper,10.1109/cicc.2017.7993698,,https://doi.org/10.1109/cicc.2017.7993698,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993698,paper,primary,verified,high,T11/T12,data_converters,adc|dac|sar|delta-sigma|noise-shaping|modulator,CICC-C03,Data converters and mixed-signal quantization,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0016,CICC,CICC,2017,complete,"A 2.4mW, 111dB SNR continuous-time ΣΔ ADC with a three-level DEM technique",Khiem Nguyen|Michael Determan|Sejun Kim,Technical Program,,accepted_paper,10.1109/cicc.2017.7993656,,https://doi.org/10.1109/cicc.2017.7993656,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993656,paper,primary,verified,high,T11/T12,data_converters,adc|dac|sar|delta-sigma|noise-shaping|modulator,CICC-C03,Data converters and mixed-signal quantization,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0017,CICC,CICC,2017,complete,"A 220-mV input, 8.6 step-up voltage conversion ratio, 10.45-μW output power, fully integrated switched-capacitor converter for energy harvesting",Luca Intaschi|Paolo Bruschi|Giuseppe Iannaccone|Francesco Dalena,Technical Program,,accepted_paper,10.1109/cicc.2017.7993623,,https://doi.org/10.1109/cicc.2017.7993623,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993623,paper,primary,verified,high,T04/T10/T12,power_management,dc-dc|ldo|pmic|power_delivery|energy_harvesting,CICC-C04,"Power management, voltage regulation, and power delivery",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,maybe,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0018,CICC,CICC,2017,complete,A −236.3dB FoM sub-sampling low-jitter supply-robust ring-oscillator PLL for clocking applications with feed-forward noise-cancellation,Shravan S. Nagam|Peter R. Kinget,Technical Program,,accepted_paper,10.1109/cicc.2017.7993677,,https://doi.org/10.1109/cicc.2017.7993677,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993677,paper,primary,verified,high,T12,rf_mmwave_thz,rf|mmwave|pll|radar|wireless|thz,CICC-C02,"RF, mmWave, THz, radar, wireless, and clock generation",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0019,CICC,CICC,2017,complete,A 255nW ultra-high input impedance analog front-end for non-contact ECG monitoring,Jinseok Lee|Hyojun Kim|SeongHwan Cho,Technical Program,,accepted_paper,10.1109/cicc.2017.7993707,,https://doi.org/10.1109/cicc.2017.7993707,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993707,paper,primary,verified,high,T03/T04/T11,biomedical_sensor_interfaces,sensor|biomedical|neural|wearable|imager|lidar,CICC-C05,"Biomedical, neural, sensor, imaging, and wearable interfaces",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0020,CICC,CICC,2017,complete,A 256kb 6T self-tuning SRAM with extended 0.38V–1.2V operating range using multiple read/write assists and VMIN tracking canary sensors,Arijit Banerjee|Ningxi Liu|Harsh N. Patel|Benton H. Calhoun|John Poulton|C. Thomas Gray,Technical Program,,accepted_paper,10.1109/cicc.2017.7993688,,https://doi.org/10.1109/cicc.2017.7993688,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993688,paper,primary,verified,high,T05/T06/T10,compute_in_memory_analog_ai,compute_in_memory|analog_ai|rram|sram|neuromorphic|pim,CICC-C07,"Compute-in-memory, analog AI, and neuromorphic compute",split_candidate,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,maybe,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0021,CICC,CICC,2017,complete,"A 27.1 mW, 7.5-to-11.1 Gb/s single-loop referenceless CDR with direct Up/dn control",Kwanseo Park|Woorham Bae|Deog-Kyoon Jeong,Technical Program,,accepted_paper,10.1109/cicc.2017.7993599,,https://doi.org/10.1109/cicc.2017.7993599,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993599,paper,primary,verified,high,T10/T12,wireline_optical_io,serdes|wireline|pam4|optical|cdr|tia|die-to-die,CICC-C01,"Wireline, SerDes, optical I/O, and die-to-die links",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,maybe,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0022,CICC,CICC,2017,complete,A 3–7GHz 4-element digital modulated polar phased-array transmitter with 0.35° phase resolution and 38.2% peak system efficiency,Huizhen Jenny Qian|Jian Orion Liang|Nianyong Zhu|Peng Gao|Xun Luo,Technical Program,,accepted_paper,10.1109/cicc.2017.7993692,,https://doi.org/10.1109/cicc.2017.7993692,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993692,paper,primary,verified,high,T10/T12,wireline_optical_io,serdes|wireline|pam4|optical|cdr|tia|die-to-die,CICC-C01,"Wireline, SerDes, optical I/O, and die-to-die links",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,maybe,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0023,CICC,CICC,2017,complete,A 330μW 1.25ps 400fs-INL vernier time-to-digital converter with 2D reconfigurable spiral arbiter array and 2nd-order ΔΣ linearization,Hechen Wang|Fa Foster Dai|Hua Wang,Technical Program,,accepted_paper,10.1109/cicc.2017.7993635,,https://doi.org/10.1109/cicc.2017.7993635,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993635,paper,primary,verified,high,T11/T12,data_converters,adc|dac|sar|delta-sigma|noise-shaping|modulator,CICC-C03,Data converters and mixed-signal quantization,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0024,CICC,CICC,2017,complete,A 350uW 2GHz FBAR transformer coupled Colpitts oscillator with close-in phase noise reduction,Jabeom Koo|Keping Wang|Richard Ruby|Brian Otis,Technical Program,,accepted_paper,10.1109/cicc.2017.7993636,,https://doi.org/10.1109/cicc.2017.7993636,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993636,paper,primary,verified,high,T12,rf_mmwave_thz,rf|mmwave|pll|radar|wireless|thz,CICC-C02,"RF, mmWave, THz, radar, wireless, and clock generation",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0025,CICC,CICC,2017,complete,A 4–40 Gb/s PAM4 transmitter with output linearity optimization in 65 nm CMOS,Xuqiang Zheng|Chun Zhang|Fangxu Lv|Feng Zhao|Shigang Yue|Ziqiang Wang|Fule Li|Hanjun Jiang|Zhihua Wang,Technical Program,,accepted_paper,10.1109/cicc.2017.7993640,,https://doi.org/10.1109/cicc.2017.7993640,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993640,paper,primary,verified,high,T10/T12,wireline_optical_io,serdes|wireline|pam4|optical|cdr|tia|die-to-die,CICC-C01,"Wireline, SerDes, optical I/O, and die-to-die links",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,maybe,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0026,CICC,CICC,2017,complete,A 4-mm2180-nm-CMOS 15-Giga-cell-updates-per-second DNA sequence alignment engine based on asynchronous race conditions,Advait Madhavan|Timothy Sherwood|Dmitri Strukov,Technical Program,,accepted_paper,10.1109/cicc.2017.7993630,,https://doi.org/10.1109/cicc.2017.7993630,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993630,paper,primary,verified,high,T11/T12,analog_mixed_signal_blocks,analog|mixed_signal|amplifier|reference|filter,CICC-C10,Analog and mixed-signal building blocks,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0027,CICC,CICC,2017,complete,A 40-Gbps 0.5-pJ/bit VCSEL driver in 28nm CMOS with complex zero equalizer,Alireza Sharif-Bakhtiar|Michael G. Lee|Anthony Chan Carusone,Technical Program,,accepted_paper,10.1109/cicc.2017.7993600,,https://doi.org/10.1109/cicc.2017.7993600,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993600,paper,primary,verified,high,T10/T12,wireline_optical_io,serdes|wireline|pam4|optical|cdr|tia|die-to-die,CICC-C01,"Wireline, SerDes, optical I/O, and die-to-die links",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,maybe,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0028,CICC,CICC,2017,complete,A 45–75MHz 197–452µW oscillator with 164.6dB FoM and 2.3psrms period jitter in 65nm CMOS,Junheng Zhu|Makrand Mahalley|Guanghua Shu|Woo-Seok Choi|Romesh Kumar Nandwana|Ahmed Elkholy|Bibhudatta Sahoo|Pavan Kumar Hanumolu,Technical Program,,accepted_paper,10.1109/cicc.2017.7993679,,https://doi.org/10.1109/cicc.2017.7993679,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993679,paper,primary,verified,high,T11/T12,analog_mixed_signal_blocks,analog|mixed_signal|amplifier|reference|filter,CICC-C10,Analog and mixed-signal building blocks,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0029,CICC,CICC,2017,complete,A 50 MHz BW 73.5 dB SNDR two-stage continuous-time ΔΣ modulator with VCO quantizer nonlinearity cancellation,Siladitya Dey|Karthikeyan Reddy|Kartikeya Mayaram|Terri Fiez,Technical Program,,accepted_paper,10.1109/cicc.2017.7993657,,https://doi.org/10.1109/cicc.2017.7993657,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993657,paper,primary,verified,high,T11/T12,data_converters,adc|dac|sar|delta-sigma|noise-shaping|modulator,CICC-C03,Data converters and mixed-signal quantization,provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
CICC-2017-P0030,CICC,CICC,2017,complete,"A ±5V, ±10V, ±15V, 4-channel class-G biphasic constant-current stimulator",Edward K.F. Lee,Technical Program,,accepted_paper,10.1109/cicc.2017.7993649,,https://doi.org/10.1109/cicc.2017.7993649,,,https://dblp.org/db/conf/cicc/cicc2017.html,,https://doi.org/10.1109/CICC.2017,,Crossref metadata for 2017 IEEE CICC proceedings article,https://doi.org/10.1109/cicc.2017.7993649,paper,primary,verified,high,T03/T04/T11,biomedical_sensor_interfaces,sensor|biomedical|neural|wearable|imager|lidar,CICC-C05,"Biomedical, neural, sensor, imaging, and wearable interfaces",provisional,Title-level provisional cluster from Crossref metadata and clustering-agent label set; no batch abstract/full-text clustering.,,,,,none,,,no,,Crossref-derived CICC row; front matter filtered by title rules.
