paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
DATE-2016-P0011,DATE,DATE,2016,complete,A Four-Mode Model for Efficient Fault-Tolerant Mixed-Criticality Systems,Zaid Al-bayati|Jonah Caplan|Brett H. Meyer and Haibo Zeng,technical_program,Fault-Tolerant Embedded Systems,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0312.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0312.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0312.xml,proceedings,primary,verified,medium,T11|T12,test_reliability_fault_tolerance,test|reliability|fault_tolerance,DATE-C07,"DA03 Test, diagnosis, reliability, fault tolerance",provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0012,DATE,DATE,2016,complete,A Fully-Digital EM Pulse Detector,David El-Baze|Jean-Baptiste Rigaud and Philippe Maurine,technical_program,Physical Attacks and Countermeasures,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0164.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0164.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0164.xml,proceedings,primary,verified,medium,T11|T12,hardware_security_trusted_systems,security|attack_or_fault|trust,DATE-C12,SEC01 Hardware security and trusted systems,provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0013,DATE,DATE,2016,complete,A General Approach for Highly Defect Tolerant Parallel Prefix Adder Design,Soumya Banerjee and Wenjing Rao,technical_program,Fault Tolerant Systems and Methods,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0708.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0708.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0708.xml,proceedings,primary,verified,medium,T11|T12,test_reliability_fault_tolerance,test|reliability|fault_tolerance,DATE-C07,"DA03 Test, diagnosis, reliability, fault tolerance",provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0014,DATE,DATE,2016,complete,"A Holistic Tri-region MLC STT-RAM Design with Combined Performance, Energy, and Reliability Optimizations",Wujie Wen|Mengjie Mao|Hai Li|Yiran Chen|Yukui Pei and Ning Ge,technical_program,Reliable System Design,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0917.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0917.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0917.xml,proceedings,primary,verified,medium,T11|T12,test_reliability_fault_tolerance,test|reliability|fault_tolerance,DATE-C07,"DA03 Test, diagnosis, reliability, fault tolerance",provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0015,DATE,DATE,2016,complete,A Lifetime-Aware Runtime Mapping Approach for Many-core Systems in the Dark Silicon Era,Mohammad-Hashem Haghbayan|Antonio Miele|Amir M. Rahmani|Pasi Liljeberg and Hannu Tenhunen,technical_program,Interactive Presentations,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0219.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0219.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0219.xml,proceedings,primary,verified,medium,T07|T08,hls_compilers_mapping_runtime,compiler|mapping|runtime,DATE-C09,"DA05 HLS, compilers, mapping, runtime DSE",provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0016,DATE,DATE,2016,complete,A Low Overhead Error Confinement Method based on Application Statistical Characteristics,Zheng Wang|Georgios Karakonstantis and Anupam Chattopadhyay,technical_program,Interactive Presentations,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0324.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0324.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0324.xml,proceedings,primary,verified,medium,T12,other_needs_review,,DATE-C99,OTHER needs_review/outside target scope,uncertain,,,,,,none,0,,no,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0017,DATE,DATE,2016,complete,A Machine Learning Approach for Medication Adherence Monitoring Using Body-Worn Sensors,Niloofar Hezarjaribi|Ramin Fallahzadeh and Hassan Ghasemzadeh,technical_program,Interactive Presentations,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0883.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0883.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0883.xml,proceedings,primary,verified,medium,T04|T08,embedded_realtime_cps_robotics_edge,edge|real_time|cps_or_robotics,DATE-C10,"SYS01 Embedded real-time CPS, automotive, robotics, edge IoT",provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0018,DATE,DATE,2016,complete,A New Parallel SystemC Kernel Leveraging Manycore Architectures,Nicolas Ventroux and Tanguy Sassolas,technical_program,Efficient System Modeling with SystemC,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0325.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0325.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0325.xml,proceedings,primary,verified,medium,T11|T12,test_reliability_fault_tolerance,test|reliability|fault_tolerance,DATE-C07,"DA03 Test, diagnosis, reliability, fault tolerance",provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0019,DATE,DATE,2016,complete,A novel Background Subtraction Scheme for in-Camera Acceleration in Thermal Imagery,Antonis Nikitakis|Ioannis Papaefstathiou|Konstantinos Makantasis and Anastasios Doulamis,technical_program,Interactive Presentations,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0092.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0092.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0092.xml,proceedings,primary,verified,medium,T10|T12,low_power_thermal_sustainable_computing,power|thermal|sustainability,DATE-C13,"PWR01 Low-power, thermal, sustainable computing",provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0020,DATE,DATE,2016,complete,A Novel Cache-Utilization Based Dynamic Voltage Frequency Scaling (DVFS) Mechanism for Reliability Enhancements,Yen-Hao Chen|Yi-Lun Tang|Yi-Yu Liu|Allen C.-H. Wu and TingTing Hwang,technical_program,Energy Efficient Systems and Architectures,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0067.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0067.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0067.xml,proceedings,primary,verified,medium,T11|T12,test_reliability_fault_tolerance,test|reliability|fault_tolerance,DATE-C07,"DA03 Test, diagnosis, reliability, fault tolerance",provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0021,DATE,DATE,2016,complete,A Power-Efficient 3-D On-Chip Interconnect for Multi-Core Accelerators with Stacked L2 Cache,Kyungsu Kang|Sangho Park|Jong-Bae Lee|Luca Benini and Giovanni De Micheli,technical_program,Interactive Presentations,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0205.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0205.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0205.xml,proceedings,primary,verified,medium,T02|T03|T05,ai_inference_model_specific_accelerators,ai_inference|model_specific|accelerator,DATE-C01,ACC01 AI inference and model-specific accelerators,provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0022,DATE,DATE,2016,complete,A Procedure for Improving the Distribution of Congestion in Global Routing,Daohang Shi|Azadeh Davoodi and Jeffrey Linderoth,technical_program,Interactive Presentations,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0732.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0732.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0732.xml,proceedings,primary,verified,medium,T10|T12,physical_implementation_chiplet_closure,physical_design|chiplet_or_3d|closure,DATE-C05,DA01 Physical implementation and 3D/chiplet closure,provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0023,DATE,DATE,2016,complete,A q -gram Birthmarking Approach to Predicting Reusable Hardware,Kevin Zeng and Peter Athanas,technical_program,Interactive Presentations,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0927.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0927.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0927.xml,proceedings,primary,verified,medium,T12,other_needs_review,,DATE-C99,OTHER needs_review/outside target scope,uncertain,,,,,,none,0,,no,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0024,DATE,DATE,2016,complete,A Reconfigurable Heterogeneous Multicore with a Homogeneous ISA,Jeckson Dellagostin Souza|Luigi Carro|Mateus Beck Rutzig and Antonio Carlos Schneider Beck,technical_program,Accelerator Design and Heterogeneous Architectures,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0775.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0775.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0775.xml,proceedings,primary,verified,medium,T02|T03|T05,ai_inference_model_specific_accelerators,ai_inference|model_specific|accelerator,DATE-C01,ACC01 AI inference and model-specific accelerators,provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0025,DATE,DATE,2016,complete,A Scalable Lane Detection Algorithm on COTSs with OpenCL,Kai Huang|Biao Hu|Jan Botsch|Nikhil Madduri and Alois Knoll,technical_program,Interactive Presentations,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0056.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0056.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0056.xml,proceedings,primary,verified,medium,T12,other_needs_review,,DATE-C99,OTHER needs_review/outside target scope,uncertain,,,,,,none,0,,no,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0026,DATE,DATE,2016,complete,A Synthesis-Agnostic Behavioral Fault Model for High Gate-Level Fault Coverage,Anton Karputkin and Jaan Raik,technical_program,Interactive Presentations,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0260.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0260.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0260.xml,proceedings,primary,verified,medium,T11|T12,formal_verification_hardware_correctness,verification|formal|correctness,DATE-C06,DA02 Logic/formal verification and hardware correctness,provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0027,DATE,DATE,2016,complete,A Synthesis-Parameter Tuning System for Autonomous Design-Space Exploration,Matthew M. Ziegler|Hung-Yi Liu|George Gristede|Bruce Owens|Ricardo Nigaglioni and Luca P. Carloni,technical_program,Interactive Presentations,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0690.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0690.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0690.xml,proceedings,primary,verified,medium,T04|T08,embedded_realtime_cps_robotics_edge,edge|real_time|cps_or_robotics,DATE-C10,"SYS01 Embedded real-time CPS, automotive, robotics, edge IoT",provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0028,DATE,DATE,2016,complete,A Systematic Approach to Automated Construction of Power Emulation Models,Benjamin A. Bjørnseth|Asbjørn Djupdal and Lasse Natvig,technical_program,Power Modeling and Power Aware Synthesis,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0723.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0723.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0723.xml,proceedings,primary,verified,medium,T11|T12,formal_verification_hardware_correctness,verification|formal|correctness,DATE-C06,DA02 Logic/formal verification and hardware correctness,provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0029,DATE,DATE,2016,complete,Accelerated Artificial Neural Networks on FPGA for Fault Detection in Automotive Systems,Shanker Shreejith|Bezborah Anshuman and Suhaib A. Fahmy,technical_program,Automotive Systems and Smart Energy Systems,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0337.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0337.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0337.xml,proceedings,primary,verified,medium,T02|T03|T05,ai_inference_model_specific_accelerators,ai_inference|model_specific|accelerator,DATE-C01,ACC01 AI inference and model-specific accelerators,provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0030,DATE,DATE,2016,complete,Accelerating Source-Level Timing Simulation,Simon Schulz and Oliver Bringmann,technical_program,Simulating Everything: From Timing to Instructions,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0234.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0234.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0234.xml,proceedings,primary,verified,medium,T12,other_needs_review,,DATE-C99,OTHER needs_review/outside target scope,uncertain,,,,,,none,0,,no,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0031,DATE,DATE,2016,complete,Accurate CEGAR-based ATPG in Presence of Unknown Values for Large Industrial Designs,Karsten Scheibler|Dominik Erb and Bernd Becker,technical_program,"Test Methods Handling Unkowns, 2.50 Integration and Realistic Memory Defects",accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0380.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0380.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0380.xml,proceedings,primary,verified,medium,T11|T12,test_reliability_fault_tolerance,test|reliability|fault_tolerance,DATE-C07,"DA03 Test, diagnosis, reliability, fault tolerance",provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0032,DATE,DATE,2016,complete,Accurate Verification of RC Power Grids,Mohammad Fawaz and Farid N. Najm,technical_program,Interactive Presentations,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0297.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0297.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0297.xml,proceedings,primary,verified,medium,T11|T12,formal_verification_hardware_correctness,verification|formal|correctness,DATE-C06,DA02 Logic/formal verification and hardware correctness,provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0033,DATE,DATE,2016,complete,Achieving 100% Cell-Aware Coverage by Design,Zeye (Dexter) Liu|Ben Niewenhuis|Soumya Mittal and R. D. (Shawn) Blanton,technical_program,Variability Challenges in Nanoscale Designs,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0329.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0329.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0329.xml,proceedings,primary,verified,medium,T12,other_needs_review,,DATE-C99,OTHER needs_review/outside target scope,uncertain,,,,,,none,0,,no,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
DATE-2016-P0034,DATE,DATE,2016,complete,Activation of Logic Encrypted Chips: Pre-Test or Post-Test?,Muhammad Yasin|Samah Mohamed Saeed|Jeyavijayan (JV) Rajendran and Ozgur Sinanoglu,technical_program,On-Chip Security Testing,accepted_paper,,,,,,,https://past.date-conference.com/proceedings-archive/2016/html/toc.html,https://past.date-conference.com/proceedings-archive/2016/html/0687.xml,https://past.date-conference.com/proceedings-archive/2016/pdf/0687.pdf,DATE 2016 proceedings technical program,https://past.date-conference.com/proceedings-archive/2016/html/0687.xml,proceedings,primary,verified,medium,T11|T12,hardware_security_trusted_systems,security|attack_or_fault|trust,DATE-C12,SEC01 Hardware security and trusted systems,provisional,,,,,,none,0,,maybe,doi,Parsed from official DATE proceedings TOC; DOI/DBLP not batch-verified.
